RA Dec redshift phot_index luminosity nh_values
31.577600344205 -0.41512163434668 0.5758 1.57571 1.8228143928275433e+43 22.19055
53.166025467657 -27.082957843524 0.7258 2.60777 7.00383446201984e+43 20.63689
51.891220474984 -28.447893641347 1.0257 1.97482 2.2893289872546495e+44 20.42308
52.023900469167 -28.448076057197 1.0257 2.13024 3.7873741207702857e+43 21.03786
197.34881037693 -23.407004119167 0.9757 2.92444 1.3447304750244606e+44 21.25327
197.3675873641 -23.319199309828 0.92298 1.78879 6.856130161323681e+44 21.04381
212.74498861764 52.119920925732 0.45586 1.82284 8.450096490832937e+44 20.77809
213.43331895918 53.118753972453 0.2759 1.24434 9.037257630939124e+42 22.04046
213.35111054416 53.090818806894 0.176 2.25632 1.5464805134634385e+45 20.0587
187.4738530205 12.46346463907 0.176 5.5328 7.293978049528851e+42 20.34784
332.97453039358 18.697183070685 2.7252 2.00173 4.389267475784444e+44 20.00208
246.97039769017 39.936218268853 1.8255 2.30231 1.8387354176694398e+45 21.28331
246.64307522837 39.646992165109 1.3756 1.83912 6.6735577752094624e+44 20.81046
224.98015185101 52.894637514719 0.8258 2.09768 3.367127551978302e+43 20.36257
224.7703163222 52.636623691398 2.77138 2.16412 1.0992189370944498e+45 20.90919
216.63763049482 51.031327523326 1.4256 1.81255 1.9316941424055e+44 21.81533
216.56114011342 51.321061471858 0.03612 2.28865 2.3804040746583783e+40 22.51302
180.72305998966 44.256966126935 0.8758 2.06258 8.470675731777221e+43 20.58072
180.93852741586 44.098617825272 0.9757 1.92119 7.155586684058167e+43 21.22269
180.85666073228 44.280699023524 0.7258 1.99382 4.81300012367218e+43 21.18461
180.53226349082 44.364283057689 1.1757 1.99498 2.5300268448340306e+44 21.03182
329.71059054061 18.175258789668 0.08767 2.05439 3.940033683274641e+42 20.71669
165.18235252 10.74831629751 2.2663 2.36245 1.4052162528924583e+45 20.94642
165.09928199962 10.500004380129 0.4759 1.85007 8.707686945415568e+43 21.96597
165.3341951636 10.608313127056 0.126 1.75577 4.1893241679549756e+42 21.07856
165.15518428564 10.436989683575 1.9754 4.06521 9.058952561911515e+43 21.60677
165.31071357741 10.55943129569 0.6758 2.33427 3.1781769414529157e+43 21.39082
165.31241976675 10.373118464334 1.3756 1.91752 1.1601587628065325e+44 20.38673
165.21348034646 10.386269445028 2.54844 2.18762 1.7733791616997765e+45 20.576
165.20656987139 10.42518152588 0.7758 2.40194 3.5397015061795755e+43 21.56477
165.3373576363 10.68571208959 0.7258 2.33437 1.1598073932070608e+43 20.48349
165.32476754277 10.535106917197 0.6758 1.13317 1.5453899101324346e+44 23.22204
165.11940400619 10.438821986391 1.0257 1.76712 5.437486695181482e+44 20.77563
165.1842244835 10.595563479737 1.4755 4.3644 3.461818504157569e+45 20.03423
165.30264657113 10.736781572757 1.2257 2.02887 7.17265217937916e+44 20.08112
162.80602651012 32.711020894913 2.35264 3.52889 3.769951430475814e+44 22.72253
162.83686629126 32.616323456901 0.6758 2.01386 2.5038486433552234e+43 20.57213
162.84439728264 32.656485904687 2.3752 3.00053 1.3019564030374475e+44 20.66813
162.88032334756 32.808062890057 1.5255 1.42389 1.4630534462992062e+44 21.35537
162.81150487653 32.548183555519 1.3755 2.61869 3.099626569651206e+45 20.52169
